銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,56700.0,2025-11-28 03:54:51
8035,東京エレクトロン,31740.0,2025-11-28 03:54:51
6857,アドバンテスト,20480.0,2025-11-28 03:54:52
6920,レーザーテック,27845.0,2025-11-28 03:54:53
9984,ソフトバンクグループ,16880.0,2025-11-28 03:54:53
6861,キーエンス,52930.0,2025-11-28 03:54:54
7735,SCREENホールディングス,12765.0,2025-11-28 03:54:54
6367,ダイキン工業,20255.0,2025-11-28 03:54:55
7974,任天堂,13235.0,2025-11-28 03:54:56
6954,ファナック,5008.0,2025-11-28 03:54:56
6501,日立製作所,4960.0,2025-11-28 03:54:57
6723,ルネサスエレクトロニクス,1828.5,2025-11-28 03:54:57
7751,キヤノン,4591.0,2025-11-28 03:54:58
6976,太陽誘電,3268.0,2025-11-28 03:54:58
7203,トヨタ自動車,3131.0,2025-11-28 03:54:59
8031,三井物産,4108.0,2025-11-28 03:54:59
8058,三菱商事,3677.0,2025-11-28 03:55:00
8306,三菱UFJフィナンシャル・グループ,2417.5,2025-11-28 03:55:00
8316,三井住友フィナンシャルグループ,4694.0,2025-11-28 03:55:01
8411,みずほフィナンシャルグループ,5493.0,2025-11-28 03:55:02
8591,オリックス,4213.0,2025-11-28 03:55:02
9101,日本郵船,4969.0,2025-11-28 03:55:03
9104,商船三井,4428.0,2025-11-28 03:55:03
9107,川崎汽船,2087.5,2025-11-28 03:55:04
4063,信越化学工業,4675.0,2025-11-28 03:55:05
4502,武田薬品工業,4491.0,2025-11-28 03:55:05
6762,TDK,2552.5,2025-11-28 03:55:06
2914,日本たばこ産業,5909.0,2025-11-28 03:55:06
7201,日産自動車,382.8999938964844,2025-11-28 03:55:07
7267,ホンダ,1568.0,2025-11-28 03:55:07
8105,Bitcoin Japan,397.0,2025-11-28 03:55:07
5016,JX金属,1675.5,2025-11-28 03:55:08
3656,KLab,259.0,2025-11-28 03:55:08
4565,そーせいグループ,885.0,2025-11-28 03:55:09
4582,シンバイオ製薬,106.0,2025-11-28 03:55:09
4592,サンバイオ,2209.0,2025-11-28 03:55:09
4477,BASE,333.0,2025-11-28 03:55:10
4599,ステムリム,282.0,2025-11-28 03:55:10
4167,ココペリ,316.0,2025-11-28 03:55:10
4385,メルカリ,2652.0,2025-11-28 03:55:11
4478,フリー,3065.0,2025-11-28 03:55:11
3903,gumi,419.0,2025-11-28 03:55:12
3911,Aiming,246.0,2025-11-28 03:55:12
3697,SHIFT,975.9000244140625,2025-11-28 03:55:12
3624,アクセルマーク,92.0,2025-11-28 03:55:13
7779,サイバーダイン,171.0,2025-11-28 03:55:13
3853,アステリア,1126.0,2025-11-28 03:55:14
3936,グローバルウェイ,143.0,2025-11-28 03:55:14
7359,東京通信,321.0,2025-11-28 03:55:15
4880,セルソース,520.0,2025-11-28 03:55:15
7138,TORICO,169.0,2025-11-28 03:55:16
5250,プライム・ストラテジー,1543.0,2025-11-28 03:55:16
7711,助川電気工業,7430.0,2025-11-28 03:55:17
4424,Amazia,555.0,2025-11-28 03:55:17
6731,ピクセラ,42.0,2025-11-28 03:55:18
7806,MTG,4530.0,2025-11-28 03:55:18
4234,サンエー化研,810.0,2025-11-28 03:55:18
4570,免疫生物研究所,3120.0,2025-11-28 03:55:19
4720,城南進学研究社,290.0,2025-11-28 03:55:19
4446,リンクユーグループ,1301.0,2025-11-28 03:55:20
