銘柄コード,銘柄名
9983,ファーストリテイリング
8035,東京エレクトロン
6857,アドバンテスト
6920,レーザーテック
9984,ソフトバンクグループ
6861,キーエンス
7735,SCREENホールディングス
6367,ダイキン工業
7974,任天堂
6954,ファナック
6501,日立製作所
6723,ルネサスエレクトロニクス
7751,キヤノン
6976,太陽誘電
7203,トヨタ自動車
8031,三井物産
8058,三菱商事
8306,三菱UFJフィナンシャル・グループ
8316,三井住友フィナンシャルグループ
8411,みずほフィナンシャルグループ
8591,オリックス
9101,日本郵船
9104,商船三井
9107,川崎汽船
4063,信越化学工業
4502,武田薬品工業
6762,TDK
2914,日本たばこ産業
7201,日産自動車
7267,ホンダ
8105,Bitcoin Japan
5016,JX金属
3656,KLab
4565,そーせいグループ
4582,シンバイオ製薬
4592,サンバイオ
4477,BASE
4599,ステムリム
4167,ココペリ
4385,メルカリ
4478,フリー
3903,gumi
3911,Aiming
3697,SHIFT
3624,アクセルマーク
7779,サイバーダイン
3853,アステリア
3936,グローバルウェイ
7359,東京通信
4880,セルソース
7138,TORICO
5250,プライム・ストラテジー
7711,助川電気工業
4424,Amazia
6731,ピクセラ
7806,MTG
4234,サンエー化研
4570,免疫生物研究所
4720,城南進学研究社
4446,リンクユーグループ
